,number,value,datetime_start,datetime_complete,duration,params_Adadelta_eps,params_Adadelta_lr,params_Adadelta_rho,params_Adagrad_lr,params_Adagrad_lr_decay,params_Adagrad_weight_decay,params_Adam_beta1,params_Adam_beta2,params_Adam_eps,params_Adam_lr,params_Adam_weight_decay,params_Rprop_eta1,params_Rprop_eta2,params_Rprop_lr,params_Rprop_step_size1,params_Rprop_step_size2,params_ann_type,params_do_regularization,params_dropout_rate0,params_dropout_rate1,params_dropout_rate2,params_dropout_rate3,params_dropout_rate4,params_dropout_rate5,params_eps_batch_norm0,params_eps_batch_norm1,params_eps_batch_norm2,params_eps_batch_norm3,params_eps_batch_norm4,params_eps_batch_norm5,params_hidden_size_lstm_cell0,params_hidden_size_lstm_cell1,params_hidden_size_lstm_cell2,params_hidden_size_lstm_cell3,params_hidden_size_lstm_cell4,params_hidden_size_lstm_cell5,params_lin_act,params_loss_name,params_momentum__batch_norma0,params_momentum__batch_norma1,params_momentum__batch_norma2,params_momentum__batch_norma3,params_momentum__batch_norma4,params_momentum__batch_norma5,params_number_of_hidden_stacks,params_optimizer_name,params_out_lin0,params_out_lin1,params_out_lin2,params_out_lin3,params_out_lin4,params_out_lin5,params_use_default_optimizer_args,params_use_normalization_layer,state
24,24,,2022-08-23 09:06:51.391593,2022-08-23 09:08:25.828261,0 days 00:01:34.436668,,,,0.07604442837378286,0.04612148845354383,0.0007091771083603822,,,,,,,,,,,lstm,False,,,,,,,,,,,,,128.0,256.0,32.0,,,,,MSELoss,,,,,,,3,Adagrad,,,,,,,False,,PRUNED
25,25,,2022-08-23 09:08:25.828807,2022-08-23 09:10:24.890703,0 days 00:01:59.061896,6.640077405204395e-07,0.9513315937738263,0.23499311097197872,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,64.0,64.0,64.0,128.0,,,,MSELoss,,,,,,,4,Adadelta,,,,,,,False,,PRUNED
26,26,,2022-08-23 09:10:24.891174,2022-08-23 09:10:37.780485,0 days 00:00:12.889311,,,,,,,0.9035796882621241,0.9597612933241254,7.542286838124666e-08,0.08880456761342986,0.0007096333906337573,,,,,,fnn,True,0.02,0.04,,,,,,,,,,,,,,,,,Softplus,MSELoss,,,,,,,2,Adam,1024.0,64.0,,,,,False,False,PRUNED
27,27,,2022-08-23 09:10:37.781149,2022-08-23 09:12:38.774588,0 days 00:02:00.993439,,,,,,,,,,,,0.4161101585056934,1.293973120045442,0.006364080570214856,7.902329223417374e-07,48.46195991918239,lstm,False,,,,,,,,,,,,,16.0,16.0,1024.0,,,,,HuberLoss,,,,,,,3,Rprop,,,,,,,False,,PRUNED
28,28,,2022-08-23 09:12:38.775208,2022-08-23 09:13:18.573415,0 days 00:00:39.798207,,,,,,,,,,,,,,,,,fnn,True,,,,,,,1.2471122677685715e-06,,,,,,,,,,,,CELU,MSELoss,0.1992338838779098,,,,,,1,Adagrad,64.0,,,,,,True,True,PRUNED
29,29,,2022-08-23 09:13:18.574087,2022-08-23 09:14:13.585400,0 days 00:00:55.011313,,,,0.03260026016525844,0.07975427127851635,0.00043059793554251055,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,GaussianNLLLoss,,,,,,,2,Adagrad,256.0,16.0,,,,,False,,PRUNED
30,30,,2022-08-23 09:14:13.586063,2022-08-23 09:16:13.989442,0 days 00:02:00.403379,9.725412489057762e-06,0.9329214329112347,0.5584220340170052,,,,,,,,,,,,,,lstm,False,,,,,,,,,,,,,512.0,512.0,16.0,16.0,,,,MSELoss,,,,,,,4,Adadelta,,,,,,,False,,PRUNED
31,31,,2022-08-23 09:16:13.990384,2022-08-23 09:17:00.079896,0 days 00:00:46.089512,,,,,,,,,,,,,,,,,fnn,True,,,,,,,3.216873740804681e-06,,,,,,,,,,,,CELU,MSELoss,0.19689231507867486,,,,,,1,Adagrad,64.0,,,,,,True,True,PRUNED
32,32,,2022-08-23 09:17:00.080484,2022-08-23 09:17:52.108736,0 days 00:00:52.028252,,,,0.037106926127015424,0.08419245660970788,0.00038432866947311147,,,,,,,,,,,fnn,False,,,,,,,,,,,,,,,,,,,SiLU,GaussianNLLLoss,,,,,,,2,Adagrad,256.0,16.0,,,,,False,,PRUNED
33,33,,2022-08-23 09:17:52.109287,2022-08-23 09:20:35.003757,0 days 00:02:42.894470,,,,,,,,,,,,,,,,,lstm,True,0.08,0.02,0.01,0.08,0.01,,,,,,,,1024.0,128.0,512.0,256.0,64.0,,,GaussianNLLLoss,,,,,,,5,Adadelta,,,,,,,True,False,PRUNED
