,type,True Reward,Realized Reward,Optimal Reward
86,multi,-0.14341879799847645,2.1746427687442047,4.390453178658606
87,multi,-0.15171878157933943,2.326630821091059,4.398141672488915
88,multi,-0.1383777187256607,2.182441198406512,4.211635664729536
89,multi,-0.15133783781377808,2.3380112731520413,4.264680581518874
90,multi,-0.14450571002504475,2.2183001991455615,4.14765035053164
91,multi,-0.1575460859805179,2.2917184430098816,4.167863525819918
92,multi,-0.1276269231200077,2.1174736373479783,4.137025159757314
93,multi,-0.11966206497315025,2.2284740971608183,4.040374583743709
94,multi,-0.13331511929252435,2.1477314703188326,4.057837535397755
95,multi,-0.13210011914305636,2.2665321800764957,4.002964367233606
96,multi,-0.12409969991291535,2.2064825582634335,3.9728207732814744
97,multi,-0.11276738784566244,2.11785334805505,3.9290828189506968
98,multi,-0.17109857577131177,2.0572797518948223,3.8291029262242104
99,multi,-0.19244753776140483,2.1735247997591336,3.821642310808416
100,multi,-0.19766975652145863,2.2480165294422285,3.7527714585900775
101,multi,-0.19294367253268108,2.1551333096044045,3.7231536415714146
102,multi,-0.2090032816024827,2.140089839117155,3.653420424432584
103,multi,-0.1622517318027309,2.0231548672867783,3.617495038038795
104,multi,-0.18419752660089841,2.0558072910554537,3.534921343015506
105,multi,-0.15860053872645152,1.97413888525891,3.487615814112706
106,multi,-0.14597263248019327,1.9663486815070133,3.4470474955071984
107,multi,-0.15214748706983505,2.003144833512042,3.382203446613776
108,multi,-0.1616262837075451,1.9160658640201538,3.3751040321274925
109,multi,-0.12160111914907776,1.8579931641591303,3.267042955697665
110,multi,-0.12284966387091335,1.9324253542053715,3.260382377703213
111,multi,-0.15673205571642748,1.8189269111480444,3.2308703724690067
112,multi,-0.16466113924417042,1.9223326045186497,3.1892620872939723
113,multi,-0.076070959476244,1.768418641615892,3.106194184080789
114,multi,-0.07828119818784264,1.7883801374082038,3.0201741153890134
115,multi,-0.0947006454990605,1.85006025452892,3.0145097967189676
116,multi,-0.09528558870789756,1.8382506402044845,2.9882035751327374
117,multi,-0.08864583802451022,1.7315054398836789,2.9397473616988075
118,multi,-0.10473774034197848,1.6831526433517583,2.8287908933023713
119,multi,-0.0738655951482357,1.7136612461965206,2.861290547059975
120,multi,-0.07708704490285063,1.722874594000659,2.821553440240689
121,multi,-0.10478322235814658,1.538865427954082,2.7674135670158146
122,multi,-0.12095434835758193,1.6619188402220209,2.7259126544471455
123,multi,-0.11304225499177097,1.6437714458417374,2.6825173435289726
124,multi,-0.12525858284732733,1.2903444010098755,2.6718386888181334
125,multi,-0.07465900140627092,1.4627436190927166,2.579784738091457
126,multi,-0.10323939965595413,1.4732885726626834,2.552088400155221
127,multi,-0.11492261970807939,1.4889197128102354,2.4561642828700565
128,multi,-0.11570330447295765,1.4416310471420624,2.395383140821714
129,multi,-0.1540551993950975,1.4580526568399774,2.3539075579131143
130,multi,-0.17684491254093226,1.373567196845665,2.3162256094182707
131,multi,-0.14153132101411697,1.298177852663188,2.2018195122543798
132,multi,-0.14337159053562262,1.1989587964479822,2.1417519093078177
133,multi,-0.16234801597592474,1.2653015332087152,2.0577857573030682
134,multi,-0.13214686753769372,1.1550847539037048,1.949828650050137
135,multi,-0.1384716608262131,1.0295724442241865,1.9200208454206131
136,multi,-0.13898878467917536,1.1875668105283972,1.874894558717517
137,multi,-0.08726065045402057,1.102834727934416,1.7994533977799811
138,multi,-0.12823145284004933,1.1094250532252556,1.7454662512071368
139,multi,-0.09151167825136355,1.0642097096119625,1.71471817738618
140,multi,-0.08806469320080378,1.0576278982190381,1.68894732368631
141,multi,-0.07470306957734858,0.9402143229675893,1.6258215171418915
142,multi,-0.05986529206510928,0.9556895146894755,1.5557850139835696
143,multi,-0.058215678046406025,0.977027927989421,1.560731812481457
144,multi,0.01547081142965609,0.9464533710317067,1.5031869788994894
145,multi,0.031301035125590515,0.7897608187375853,1.4556531128413281
146,multi,0.048679097877969646,0.8626783356084894,1.4297321670651604
147,multi,0.044891132745810566,0.908309463919097,1.36682627237355
148,multi,-0.017502985529204505,0.8299092154174162,1.2860764393619952
149,multi,-0.025908722424109465,0.8182346765849178,1.2436867376159955
150,multi,0.051986710274162684,0.7419856782013995,1.1654383055102173
151,multi,0.039201842630066916,0.6912173429194646,1.1348910634355782
152,multi,0.03794193224913482,0.6675809919329562,1.0955459518562587
153,multi,0.08081994309351231,0.6311754373606085,1.002449350497908
154,multi,0.03300501602128872,0.5784688933705007,0.9499622944467407
155,multi,0.05015915267589992,0.5201093078723014,0.8387520504006836
156,multi,0.08912682623300569,0.458062909765047,0.7722871775061775
157,multi,0.11345880957511653,0.45286563905182153,0.7320476251732793
158,multi,0.11630427687559224,0.45604225618151284,0.6951072422662071
159,multi,0.0976994392031871,0.38720087940439873,0.6248267324577492
160,multi,0.02277746815076469,0.36246678468534854,0.557729666811678
161,multi,0.047157887623691795,0.3310072409690805,0.5197355855760465
162,multi,0.0375478509955675,0.2838626263601183,0.4337486227555369
163,multi,-0.04503038717383846,0.2124639936220824,0.35465447500414043
164,multi,0.007541999569396038,0.16353575197211823,0.23930572070134754
165,multi,0.015470811429657054,0.12386171445714253,0.1819867336768689
166,multi,0.024535929151573307,0.029228688403235496,0.07617399444562202
167,multi,0.011635611552654395,0.03400330139967338,0.047234884183179976
168,multi,-0.14583051737306366,4.692098477184957,8.435235068234228
169,multi,-0.15100467742164983,4.395568877191664,8.447721073362896
